PDB_File	Pseudoenergy
9_solution_0.pdb	-1.9273
PZ9_Bujnicki_3.pdb	1.2267
PZ9_Bujnicki_4.pdb	1.2267
PZ9_Bujnicki_5.pdb	1.2267
PZ9_Chen_1.pdb	-1.0555
PZ9_Chen_2.pdb	-0.4038
PZ9_Chen_3.pdb	-0.5211
PZ9_Chen_4.pdb	-0.8852
PZ9_Chen_5.pdb	-1.0316
PZ9_Chen_6.pdb	0.9898
PZ9_Chen_7.pdb	-0.5951
PZ9_Chen_8.pdb	-0.0216
PZ9_Das_1.pdb	-0.6561
PZ9_Das_2.pdb	0.1863
PZ9_Das_3.pdb	0.3623
PZ9_Das_4.pdb	1.4044
PZ9_Das_5.pdb	0.4807
PZ9_Das_6.pdb	0.0259
PZ9_Das_7.pdb	-1.4963
PZ9_Das_8.pdb	1.0949
PZ9_Das_9.pdb	0.1904
PZ9_Ding_1.pdb	-2.1448
PZ9_Ding_10.pdb	-0.0093
PZ9_Ding_2.pdb	-1.5049
PZ9_Ding_3.pdb	-1.2298
PZ9_Ding_4.pdb	-1.8851
PZ9_Ding_5.pdb	-0.9381
PZ9_Ding_6.pdb	-2.0186
PZ9_Ding_7.pdb	-0.3523
PZ9_Ding_8.pdb	-0.9806
PZ9_Ding_9.pdb	-2.6528
PZ9_Dokholyan_1.pdb	-2.0225
PZ9_Dokholyan_2.pdb	0.7301
PZ9_Dokholyan_3.pdb	-0.4162
PZ9_Dokholyan_4.pdb	0.0215
PZ9_solution_0.pdb	-1.9273
